iso_code3,country,CPI score 2020,a_agriculture,a_coastal_zone,a_cross_cutting_area,a_drm,a_education,a_energy,a_environment,a_health,A_Im_CapBul,A_Im_Finan,A_Im_TecTran,a_lulucf,a_social_development,a_tourism,a_transport,a_urban,a_water,m_agriculture,m_buildings,m_economy-wide,m_energy,m_industries,m_lulucf,M_PL7,m_transport,m_waste,migration_and_displacement,AG.LND.FRST.K2,AG.SRF.TOTL.K2,BM.TRF.PWKR.CD.DT,BX.KLT.DINV.CD.WD,CM.MKT.LCAP.GD.ZS,DT.DOD.DECT.CD,DT.ODA.ODAT.PC.ZS,DT.TDS.DECT.GN.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,ER.GDP.FWTL.M3.KD,GC.REV.XGRT.GD.ZS,IC.REG.PROC,IT.CEL.SETS.P2,MS.MIL.XPND.GD.ZS,NE.EXP.GNFS.ZS,NE.GDI.TOTL.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GNP.ATLS.CD,NY.GNP.MKTP.PP.CD,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,SE.ENR.PRSC.FM.ZS,SE.PRM.CMPT.ZS,SE.SEC.ENRR,SH.DYN.AIDS.ZS,SH.DYN.MORT,SH.IMM.MEAS,SH.STA.BRTC.ZS,SH.STA.MALN.ZS,SI.DST.FRST.20,SI.POV.NAHC,SM.POP.NETM,SP.ADO.TFRT,SP.DYN.CONU.ZS,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.POP.GROW,SP.POP.TOTL,TG.VAL.TOTL.GD.ZS,TT.PRI.MRCH.XD.WD,TX.VAL.TECH.MF.ZS
BHS,Bahamas,63,2,0,0,0,0,0,2,8,1,1,1,0,0,2,0,4,10,0,0,0,12,0,2,1,4,0,2,5098.6,13880,178800140.7,76075924.75,NA,NA,NA,NA,NA,NA,5.389678412,NA,14.78575782,8,83.15606912,NA,37.91799023,24.90350787,38.25528572,0.824025686,11.51159613,5.150214486,11710800000,0.230478124,10628394289,12077336447,28400,32270,0.989350021,85.22869873,66.38839722,NA,14,94,98,NA,NA,NA,NA,31.1194,NA,73.088,1.782,0.959409324,374206,29.67346381,81.06273622,NA
BRB,Barbados,64,2,6,0,2,0,0,0,2,2,2,2,0,0,4,0,0,2,0,0,2,10,2,0,2,2,0,2,63,430,54531589.64,688525943.3,NA,NA,NA,NA,NA,NA,4.395403121,NA,26.71413505,7,117.337483,NA,41.44317815,16.92330117,43.08822057,NA,NA,-2.005678513,4.72E+09,2.448701961,4490614013,4225737708,15740,14810,1.013700008,NA,107.5281219,1,14,96,99,NA,NA,NA,NA,37.2136,NA,78.801,1.614,0.175042007,285324,44.55991516,121.7169082,NA
CRI,Costa Rica,57,2,2,2,2,0,0,2,2,3,3,3,0,2,0,0,0,2,6,0,0,10,0,2,2,6,2,2,29530.3,51100,407784045.2,2955521681,NA,23588779506,22.95884963,5.284882688,NA,NA,1.549914766,NA,24.17062106,9,155.4435575,0,30.82494048,18.43282008,31.69335592,4.956674948,19.4218068,3.776914738,54775994479,3.631731442,50407805035,76862312605,10400,15860,1.016720057,99.58660126,122.7865829,0.3,9,93,90,NA,4.3,21.7,NA,55.9828,77.8,79.565,1.806,1.086952795,4847804,46.90923505,99.90114876,16.98570235
CUB,Cuba,47,0,2,2,2,0,0,0,2,3,5,3,0,0,0,0,0,0,2,0,0,18,0,0,11,0,0,2,31840,109880,NA,NA,NA,NA,49.26894586,NA,NA,NA,2.58233029,NA,NA,NA,29.45174834,3.083791445,17.14734945,9.389094832,14.46639046,3.835515821,22.35318421,3.439604236,8.71E+10,4.438141959,81915785583,NA,7230,NA,0.985199988,97.07624054,97.89115143,0.4,5.6,99,99.9,NA,NA,NA,NA,52.4564,NA,78.561,1.674,0.157999772,11324781,17.27474091,165.6489592,NA
DMA,Dominica,55,2,0,6,2,2,2,0,0,2,2,2,0,0,0,0,0,0,2,2,0,16,0,2,2,6,6,4,478.7,750,24812587.59,11051185.73,NA,317214934.8,164.5055707,4.484870055,NA,NA,2.472725229,NA,NA,5,108.5287217,NA,47.63399064,NA,60.95445859,14.05557572,12.53364749,6.821103882,540737037,-2.691108924,489270328.9,761036724,6870,10690,0.986060023,105.9535828,94.25424194,NA,30.9,96,100,NA,NA,NA,NA,NA,NA,NA,NA,0.137768178,71183,45.12359674,104.7550973,NA
DOM,Dominican Republic,28,0,2,6,2,2,0,2,0,3,3,3,0,0,4,0,0,2,0,0,0,0,0,0,5,0,0,2,21036.5,48670,5.85E+08,2227300000,NA,26727433235,27.22901233,7.672401768,NA,NA,2.347495156,NA,17.57838899,7,85.56234973,0.665687802,23.7615823,23.44214517,28.40949542,5.484695932,28.49636818,2.471885977,71164825258,6.927018774,67656035529,1.45306E+11,6580,14130,0.98536998,99.52607727,79.97901917,1.1,31.3,90,99.6,NA,5,NA,NA,95.5912,NA,73.241,2.405,1.13957128,10281680,37.02531399,109.3756591,4.260574818
GRD,Grenada,53,0,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,6,0,2,0,26,0,0,3,6,6,2,177,340,47650085.51,153325880.4,NA,601161099.1,219.8925207,3.054364294,NA,NA,2.375541748,NA,NA,6,109.2774569,NA,51.2273501,NA,50.85586823,7.428340961,12.32439773,2.760327672,997007925.9,6.443143733,852171036.8,1373363286,7780,12530,0.971180022,NA,111.7527008,NA,16.2,99,99,NA,NA,NA,NA,31.6494,NA,72.445,2.126,0.637985514,109599,40.62154266,108.3896654,NA
GTM,Guatemala,25,2,2,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2,2,35858,108890,22906100,1203355080,NA,20378217942,26.41992282,3.479133924,NA,NA,1.017131099,NA,11.07465862,9,111.4995795,0.395900175,19.82990769,14.8281551,30.06354542,9.967003242,22.73751073,2.231622143,62186186576,4.092170586,57670223621,1.24517E+11,3700,8000,0.958909988,82.71166992,54.1973381,0.3,28.3,77,65.5,12.4,NA,NA,NA,73.9864,60.6,73.25,3.029,1.691465093,15567419,45.53583611,171.8265134,5.476202515
HND,Honduras,24,6,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,64638.3,112490,41100000,1316679827,NA,7626993494,59.32239204,6.578140368,NA,NA,1.099345588,NA,23.36315517,11,88.31847018,1.682138547,45.16675746,25.11800475,62.0976479,12.21597845,25.64997094,6.932770369,20979767785,3.840079971,18747622361,40945953790,2060,4490,1.061830044,NA,50.7145195,0.3,19.3,96,72,NA,3.5,52.2,NA,75.7848,NA,74.495,2.581,1.741494121,9112916,92.4748081,127.3988486,1.308471322
HTI,Haiti,18,2,2,2,2,2,0,0,2,2,2,2,0,0,0,0,0,2,0,0,2,18,0,2,2,0,2,2,3628.5,27750,247297661.3,105680000,NA,2096138364,97.78466443,0.236986066,NA,NA,0.2742825,NA,NA,12,68.25273558,0.000887538,11.76160368,14.19438015,30.22708802,17.24028523,25.97545776,7.565236523,14857386164,1.616915115,14867161982,31137922634,1390,2910,NA,NA,NA,2,70.5,69,NA,NA,NA,NA,NA,54.032,NA,62.485,3.098,1.379519207,10695542,30.72545837,265.9189468,NA
JAM,Jamaica,44,0,0,6,2,0,0,2,0,3,3,3,0,0,0,0,0,0,0,0,2,10,0,0,4,0,0,2,5774.6,10990,287140244.5,924977863.7,NA,14134200975,20.43222782,29.62987949,NA,NA,2.619266688,NA,27.46773077,2,108.5157458,0.868420522,29.92427986,21.35379131,46.1998925,6.308887084,19.2589236,6.65568686,14187696311,0.92268214,13595359295,24625714050,4700,8520,1.064180017,85.76687622,80.908638,1.5,15.6,91,99.9,NA,NA,NA,NA,55.9558,NA,74.098,2.026,0.550974945,2891021,44.09454405,85.65263977,1.036084958
LCA,Saint Lucia,56,2,6,6,0,0,0,0,0,3,3,3,6,0,0,0,2,10,0,0,2,18,6,2,7,6,2,2,207.7,620,18735427.64,153713119.4,NA,530150934.5,76.81743705,4.208632145,NA,NA,2.292821813,NA,19.70475862,5,104.8094637,NA,NA,NA,NA,2.16165473,10.94032083,4.437674938,1808079889,-1.360484662,1563843809,2220165274,8730,12390,0.977559984,NA,88.51898956,NA,21,97,99.1,NA,NA,NA,NA,41.9872,NA,75.596,1.473,0.464437831,179126,41.48046802,110.578959,4.558693322
MEX,Mexico,31,6,2,10,0,0,0,6,2,3,3,3,2,2,4,2,2,6,0,0,0,0,0,0,2,0,0,2,663309.1,1964380,810619117,35737808610,34.32582974,4.26914E+11,2.634782514,4.577577967,NA,1537.261324,3.963191128,NA,19.01749403,7,88.37175565,0.467571837,34.52488584,23.3130633,36.56420427,3.191923657,29.98530327,2.835086218,1.17187E+12,3.293151528,1.23846E+12,2.17259E+12,10160,17830,1.029829979,104.9098206,100.8327408,NA,16.2,97,97.7,3.9,NA,NA,NA,62.607,66.9,74.904,2.215,1.241177725,121858258,67.05808698,93.55396074,19.59355182
NIC,Nicaragua,22,3,0,2,2,0,0,1,1,NA,NA,NA,3,1,0,1,0,4,5,0,0,1,0,11,NA,1,5,1,39075.3,130370,1600000,9.67E+08,NA,10513666055,73.58225192,6.434960639,NA,NA,0.85675918,NA,16.72806415,7,116.7261909,0.784493121,40.08346107,33.4767491,58.11042056,16.1101157,25.73459838,7.588654318,12756706583,4.792056766,11767938508,31682119559,1890,5090,NA,NA,NA,0.2,19.4,99,95,NA,NA,NA,NA,88.5716,NA,73.649,2.48,1.302091432,6223240,93.27642619,206.5980803,0.583114218
PAN,Panama,35,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,2,4,0,0,2,42709.1,75320,828900000,5119300000,24.3555111,NA,2.582848325,NA,NA,NA,2.804430253,NA,13.21129116,5,144.6881141,0,47.68513469,42.75572777,52.25163935,2.786009684,27.55931132,2.478655902,54091700000,5.732763632,48416757232,94068749852,12200,23700,1.008329988,NA,75.83184052,NA,16.9,93,95,NA,3.4,23,NA,83.8412,50.8,77.776,2.54,1.707123796,3968487,62.58261434,162.1443795,6.074324355
SLV,El Salvador,36,2,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,2,10,0,0,2,14,2,2,6063.8,21040,74340145.28,494541718.1,NA,15570377313,14.18153967,5.852182765,NA,NA,1.082975765,NA,20.81504314,9,147.5723164,1.069237997,29.48617302,16.01694496,47.07414038,5.52976674,25.28888688,1.312491927,23438240000,2.395028298,21762547584,45817642300,3440,7240,0.978330016,96.26837921,75.33540344,0.6,15.3,95,99.9,NA,6.1,34.9,NA,71.0814,NA,72.412,2.101,0.475363828,6325124,67.419738,94.58358485,4.982968822
TTO,Trinidad and Tobago,40,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2302.9,5130,289580106.3,176829744.9,NA,NA,NA,NA,NA,NA,33.75508491,NA,38.40771891,7,154.9537045,0.80452219,NA,NA,NA,1.049887979,38.97229725,-11.3103699,25062893969,1.823184697,26010410328,37052696592,18980,27040,NA,NA,NA,0.9,19.7,89,99.9,NA,NA,NA,NA,31.976,NA,72.941,1.767,0.584484971,1370328,79.72343507,138.8331324,0.137844786
VCT,Saint Vincent and the Grenadines,59,10,2,10,2,0,0,0,2,2,2,2,6,0,0,0,2,6,0,0,0,28,0,0,2,10,0,2,285.4,390,10052444.72,119385964.3,NA,343937309.5,123.6852714,4.550730169,NA,NA,2.015795067,NA,25.4370998,7,103.8690585,NA,NA,NA,NA,6.237068416,15.40905481,2.441644287,755400000,1.330275498,715742254.1,1240035785,6560,11360,0.997340024,99.39427185,107.4255905,NA,16.8,99,98.7,NA,NA,NA,NA,51.2152,NA,72.095,1.953,0.263292035,109148,50.30447445,107.8033297,NA
